Price,Close,High,Low,Open,Volume
Ticker,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS
Date,,,,,
2024-07-31,327.67901611328125,331.47020611905174,324.0282627711511,329.5044070679777,17224023
2024-08-01,326.7897644042969,329.4108109101736,322.5773498694679,328.5683337166607,16959971
2024-08-02,324.9175720214844,328.5215323021682,318.318105608664,324.73034217550196,15120989
2024-08-05,319.8627014160156,324.77718523937773,313.0292115307909,320.14351763615866,23868328
2024-08-06,313.3100280761719,327.30458741895285,312.09309124162814,321.07958085060795,13702018
2024-08-07,321.68804931640625,325.52603269790046,315.8374736029285,319.3946407770815,14250381
2024-08-08,316.6799621582031,321.9689056468243,311.5314553455573,321.9689056468243,15378854
2024-08-09,322.0899963378906,325.2780674387228,318.61211399258457,321.8484771400544,11351617
2024-08-12,322.0899963378906,325.37465153199815,318.9985682949816,320.54426757527415,12253716
2024-08-13,310.78692626953125,321.4620633885268,310.1106606993752,320.6892137217699,9757429
2024-08-14,314.02325439453125,316.3418623177232,309.77252233922,310.7869206761976,8457477
2024-08-16,321.22052001953125,322.47640800412216,314.98931317659924,314.98931317659924,8214443
2024-08-19,332.1371765136719,333.82781083460424,324.93992237966773,326.3407159847609,17875728
2024-08-20,337.5472106933594,342.0877832131693,335.615057192559,337.1124938450729,22888866
2024-08-21,339.2861633300781,343.5368950952408,336.33961157978405,337.4989154622477,14795459
2024-08-22,338.2234802246094,343.05386403392305,336.72604355432827,342.5708256529917,10244576
2024-08-23,340.25225830078125,345.8554919074699,337.69213121337236,337.93365041163173,15872017
2024-08-26,339.23785400390625,343.8267186900141,337.16079483192215,343.39200183019796,6672007
2024-08-27,337.2091064453125,338.8514488527821,331.8473918201871,336.1947375645564,9683173
2024-08-28,336.3396301269531,343.68181966201615,334.8905149351245,336.67776290151124,7295981
2024-08-29,344.3580627441406,345.42072356295773,335.37353145158767,337.933628893658,13054801
2024-08-30,345.517333984375,353.10104215419204,342.7157173849511,347.7393281360243,20312502
2024-09-02,346.29022216796875,354.74339371429767,345.3724374642954,348.75370608282697,14344785
